,Rdate,Ind,LV,LI,Status
0,Mon Apr  5 17:46:55 2021,0,17078.78,-333.53,B
1,Mon Apr  5 17:46:56 2021,1,17078.82,-320.52,B
2,Mon Apr  5 17:46:57 2021,2,17079.26,-320.52,B
3,Mon Apr  5 17:46:58 2021,3,17076.74,-320.52,B
4,Mon Apr  5 17:46:59 2021,4,17075.82,-320.71,B
5,Mon Apr  5 17:47:00 2021,5,17074.34,-320.52,B
6,Mon Apr  5 17:47:01 2021,6,17072.45,-320.71,B
7,Mon Apr  5 17:47:02 2021,7,17070.79,-320.71,B
8,Mon Apr  5 17:47:03 2021,8,17069.31,-320.71,B
9,Mon Apr  5 17:47:04 2021,9,17067.86,-320.71,B
10,Mon Apr  5 17:47:05 2021,10,17066.38,-320.71,B
11,Mon Apr  5 17:47:06 2021,11,17065.35,-320.71,B
12,Mon Apr  5 17:47:07 2021,12,17064.13,-320.71,B
13,Mon Apr  5 17:47:08 2021,13,17062.39,-320.71,B
14,Mon Apr  5 17:47:09 2021,15,17060.02,-320.71,B
15,Mon Apr  5 17:47:10 2021,16,17059.54,-320.71,B
16,Mon Apr  5 17:47:11 2021,17,17058.21,-320.71,B
17,Mon Apr  5 17:47:12 2021,19,17056.02,-320.52,B
18,Mon Apr  5 17:47:13 2021,20,17054.69,-320.71,B
19,Mon Apr  5 17:47:14 2021,21,17054.21,-320.71,B
20,Mon Apr  5 17:47:15 2021,22,17052.62,-320.71,B
21,Mon Apr  5 17:47:16 2021,23,17051.43,-320.71,B
22,Mon Apr  5 17:47:17 2021,24,17050.84,-320.71,B
23,Mon Apr  5 17:47:18 2021,25,17049.92,-320.71,B
24,Mon Apr  5 17:47:19 2021,26,17048.92,-320.71,B
25,Mon Apr  5 17:47:20 2021,27,17048.59,-320.71,B
26,Mon Apr  5 17:47:21 2021,28,17046.55,-320.71,B
27,Mon Apr  5 17:47:22 2021,29,17045.81,-320.71,B
28,Mon Apr  5 17:47:23 2021,30,17045.51,-320.71,B
29,Mon Apr  5 17:47:24 2021,31,17043.73,-320.71,B
30,Mon Apr  5 17:47:25 2021,32,23000,-320.71,B
31,Mon Apr  5 17:47:26 2021,33,17042.7,-320.71,B
32,Mon Apr  5 17:47:27 2021,34,17040.92,-320.71,B
33,Mon Apr  5 17:47:28 2021,35,17040.92,-320.71,B
34,Mon Apr  5 17:47:29 2021,36,17040.33,-320.71,B
35,Mon Apr  5 17:47:30 2021,37,17039.44,-320.71,C
36,Mon Apr  5 17:47:31 2021,38,17038.55,-320.71,B
37,Mon Apr  5 17:47:32 2021,39,17037.22,-320.71,B
38,Mon Apr  5 17:47:33 2021,40,17037.07,-320.71,B
39,Mon Apr  5 17:47:34 2021,41,17036.48,-320.52,B
40,Mon Apr  5 17:47:36 2021,42,17035.59,-320.71,B
41,Mon Apr  5 17:47:37 2021,43,17034.11,-320.71,B
42,Mon Apr  5 17:47:38 2021,44,17034.26,-320.71,B
43,Mon Apr  5 17:47:39 2021,45,17033.23,-320.71,B
44,Mon Apr  5 17:47:40 2021,46,17032.19,-320.52,B
45,Mon Apr  5 17:47:41 2021,47,17032.04,-320.71,B
46,Mon Apr  5 17:47:42 2021,48,17029.97,-321.64,B
47,Mon Apr  5 17:47:43 2021,49,17030.12,-321.64,B
48,Mon Apr  5 17:47:44 2021,50,17028.64,-321.64,B
49,Mon Apr  5 17:47:45 2021,51,17028.64,-321.64,B
50,Mon Apr  5 17:47:46 2021,52,17027.75,-321.64,B
51,Mon Apr  5 17:47:47 2021,53,17027.57,-321.64,B
52,Mon Apr  5 17:47:48 2021,54,17026.56,-321.64,B
53,Mon Apr  5 17:47:49 2021,55,17025.68,-321.64,B
54,Mon Apr  5 17:47:50 2021,56,17025.49,-321.64,B
55,Mon Apr  5 17:47:51 2021,57,17023.9,-321.64,B
56,Mon Apr  5 17:47:52 2021,58,17024.16,-321.64,B
57,Mon Apr  5 17:47:53 2021,59,17022.86,-321.64,B
58,Mon Apr  5 17:47:54 2021,60,17022.57,-321.64,B
59,Mon Apr  5 17:47:55 2021,61,17022.42,-321.64,B
60,Mon Apr  5 17:47:56 2021,62,17021.38,-321.64,B
61,Mon Apr  5 17:47:57 2021,63,17021.05,-321.64,B
62,Mon Apr  5 17:47:58 2021,64,17020.35,-321.64,B
63,Mon Apr  5 17:47:59 2021,65,17020.05,-321.64,B
64,Mon Apr  5 17:48:00 2021,66,17019.31,-321.83,B
65,Mon Apr  5 17:48:01 2021,67,17017.98,-321.64,B
66,Mon Apr  5 17:48:02 2021,68,17018.28,-321.64,B
67,Mon Apr  5 17:48:03 2021,69,17017.94,-321.64,B
68,Mon Apr  5 17:48:04 2021,70,17016.91,-321.64,B
69,Mon Apr  5 17:48:05 2021,71,17016.5,-321.64,B
70,Mon Apr  5 17:48:06 2021,73,17015.46,-321.64,B
71,Mon Apr  5 17:48:07 2021,74,17014.43,-321.64,B
72,Mon Apr  5 17:48:08 2021,75,17014.69,-321.64,B
73,Mon Apr  5 17:48:09 2021,76,17013.83,-321.83,B
74,Mon Apr  5 17:48:10 2021,77,17013.65,-321.64,B
75,Mon Apr  5 17:48:11 2021,78,17012.8,-321.64,B
76,Mon Apr  5 17:48:12 2021,79,17012.35,-321.64,B
77,Mon Apr  5 17:48:13 2021,80,17011.91,-321.64,B
78,Mon Apr  5 17:48:14 2021,81,17011.17,-321.64,B
79,Mon Apr  5 17:48:15 2021,82,17011.13,-321.64,B
80,Mon Apr  5 17:48:16 2021,83,17009.69,-321.64,B
81,Mon Apr  5 17:48:17 2021,84,17010.25,-321.64,B
82,Mon Apr  5 17:48:18 2021,85,17009.54,-321.64,B
83,Mon Apr  5 17:48:19 2021,86,17009.21,-321.64,B
84,Mon Apr  5 17:48:20 2021,87,17008.62,-321.64,B
85,Mon Apr  5 17:48:21 2021,88,17007.91,-321.83,B
86,Mon Apr  5 17:48:22 2021,89,17007.32,-321.64,B
87,Mon Apr  5 17:48:23 2021,90,17006.69,-321.64,B
88,Mon Apr  5 17:48:24 2021,91,17006.84,-321.64,B
89,Mon Apr  5 17:48:25 2021,92,17005.69,-321.64,B
90,Mon Apr  5 17:48:26 2021,93,17005.1,-321.64,B
91,Mon Apr  5 17:48:27 2021,94,17005.4,-321.64,B
92,Mon Apr  5 17:48:28 2021,95,17004.21,-321.64,B
93,Mon Apr  5 17:48:29 2021,96,17004.77,-321.64,B
94,Mon Apr  5 17:48:30 2021,97,17003.73,-321.64,B
95,Mon Apr  5 17:48:31 2021,98,17003.14,-321.64,B
96,Mon Apr  5 17:48:32 2021,99,17003.33,-321.64,B
